Update,Environment Steps,Episodes Completed,Advantage Mean,Advantage Std,Return Mean,Policy Loss,Value Loss,Entropy,Clip Fraction,Approx KL
34,34816,696,0.63528454,1.003645,-44.302795,-0.006581781798740849,0.7230902507901191,0.6856273539364338,0.0970703125,0.0073854396352544425
35,35840,716,0.670344,0.9275174,-44.094475,-0.010288694966584444,0.7092046692967415,0.6372852351516485,0.09345703125,0.007492084120167419
36,36864,737,0.88579834,0.8675518,-42.867043,-0.013711649487959221,0.5774391833692789,0.5882657214999198,0.10283203125,0.008105554594658315
37,37888,757,0.83535814,0.82424533,-41.995743,-0.009084585955133662,0.5251370673067868,0.5360150303691625,0.10791015625,0.008453888981603087
38,38912,778,0.76272917,0.866872,-41.33869,-0.012737678439589218,0.6593501456081867,0.4885536588728428,0.10302734375,0.00816777889849618
39,39936,798,0.87813395,0.81746155,-39.96068,-0.009376972069730982,0.5584580220282078,0.4451540410518646,0.0982421875,0.0076784546603448686
40,40960,819,0.83427685,0.76463205,-39.12715,-0.007758464541984722,0.4824499709531665,0.39757145904004576,0.0880859375,0.007127805147320032
41,41984,839,0.5200209,0.6847138,-38.985214,-0.0085703250777442,0.3399513093754649,0.35579658970236777,0.14443359375,0.0104403096716851
42,43008,860,0.9167261,0.7593564,-37.62757,-0.010523353089229203,0.46883841454982755,0.31938219219446184,0.10185546875,0.00847218816052191
43,44032,880,0.67345256,0.78310454,-36.988663,-0.011584760661935433,0.47184764938428997,0.27098049148917197,0.09921875,0.007668048050254584
44,45056,901,1.0589006,0.71146977,-35.519722,-0.015749142930144445,0.459157601185143,0.22308995723724365,0.17275390625,0.012819395534461365
45,46080,921,0.508765,0.8669502,-35.07645,-0.008057259244378657,0.43663097694516184,0.17469509914517403,0.092578125,0.007529385923407972
46,47104,942,0.48321638,0.7836825,-34.583523,-0.006636996369343251,0.4468833448365331,0.12034627050161362,0.0646484375,0.0060413801169488576
47,48128,962,0.49559894,0.58037657,-33.84937,-0.011159549256262835,0.25437906514853237,0.066921366751194,0.147265625,0.011244477942818775
48,49152,983,0.67871344,0.6007854,-33.319283,-0.007530854662763886,0.29018939277157185,0.018354089558124544,0.10654296875,0.008133562136208639
49,50176,1003,0.565237,0.6276019,-32.78244,-0.013701441360171884,0.3293724979273975,-0.02741660624742508,0.15107421875,0.010300716571509837
50,51200,1024,0.6452217,0.55551606,-32.043785,-0.013772750954376533,0.20890984470024704,-0.07580380961298942,0.15546875,0.01116574828629382
51,52224,1044,0.43215692,0.68400943,-30.960491,-0.0042066674097441135,0.33788429563865063,-0.11923980340361595,0.1400390625,0.010183356871129945
52,53248,1064,0.44411492,0.6969453,-31.18394,-0.012470663007115945,0.37509722728282213,-0.15686160326004028,0.132421875,0.009414979355642571
53,54272,1085,0.6650367,0.6314532,-30.078472,-0.0066247678536456075,0.3271718531847,-0.19993307963013648,0.09560546875,0.007502043375279754
54,55296,1105,0.58340657,0.5666081,-29.654417,-0.0067600980575662105,0.2469846903346479,-0.24001617282629012,0.1173828125,0.008822696341667324
55,56320,1126,0.3959103,0.64581054,-29.140055,-0.008333350700559095,0.3253980128094554,-0.27233088612556455,0.12490234375,0.009629973216215148
56,57344,1146,0.54342437,0.62665975,-28.529366,-0.004934322234475985,0.31545797660946845,-0.30883425995707514,0.1529296875,0.011719417275162413
57,58368,1167,0.50450647,0.51691025,-27.75489,-0.01154285840166267,0.2191613407805562,-0.34665402919054034,0.14453125,0.01001360168447718
58,59392,1187,0.3451108,0.48305598,-27.291023,-0.016510294217732736,0.18848399235866964,-0.39434108398854734,0.1556640625,0.011699598049744964
59,60416,1208,0.30196488,0.6186235,-27.272432,-0.008964248647680506,0.25699324561282993,-0.43695430010557174,0.13798828125,0.010328613582532852
60,61440,1228,0.25586563,0.6595985,-26.659672,-0.010901608935091645,0.29508280707523227,-0.46778836436569693,0.12080078125,0.009490975982043893
61,62464,1249,0.32973117,0.57253355,-26.402971,-0.011205777630675585,0.2151451171375811,-0.4967083390802145,0.18955078125,0.013853804575046525
62,63488,1269,0.27153724,0.6584131,-25.789852,-0.002268603222910315,0.2021252137608826,-0.5217407375574112,0.129296875,0.00995356683852151
63,64512,1290,0.23973392,0.6640241,-25.609379,-0.007597453380003572,0.27214930579066277,-0.5506368570029736,0.1396484375,0.010281249007675797
64,65536,1310,0.29139295,0.6293959,-24.982006,-0.006262930372031406,0.27732013864442706,-0.5729776509106159,0.134765625,0.009585912618786097
65,66560,1331,0.18747865,0.6385704,-24.839344,-0.00643002325668931,0.27238774569705126,-0.5929447419941425,0.144921875,0.010983765369746833
66,67584,1351,0.27803883,0.611412,-24.521069,-0.00924672115361318,0.2894896534271538,-0.6292511146515608,0.16201171875,0.012085915450006724
67,68608,1372,0.2838014,0.644108,-24.097914,-0.007140989298932254,0.2788101457990706,-0.6703120328485965,0.1390625,0.010077564278617501
68,69632,1392,0.30350125,0.4910854,-23.656673,-0.004678891075309366,0.1658526468090713,-0.7118000444024801,0.16904296875,0.012209785863524303
69,70656,1413,0.25108194,0.42887852,-23.467188,-0.006847481423756107,0.15017316564917566,-0.7610472839325666,0.153515625,0.011246503482107073
70,71680,1433,0.31158715,0.4574992,-23.264463,-0.011580878536915407,0.17870112364180385,-0.7994222391396761,0.1662109375,0.012786540540400893
71,72704,1454,0.10291196,0.4968747,-23.269665,-0.007182355929398909,0.15827895081602036,-0.824943645298481,0.15244140625,0.011274176044389605
