Episode,Total Reward,Mean Distance,Final Distance,Minimum Distance,Mean Control Cost,Success,Steps
37,-7.29470152306195,0.13684808185385758,0.13210495837293854,0.04157259396199265,0.009045948607381433,False,50
38,-6.690023522541414,0.12676856626831504,0.15818986601180052,0.022921254544525507,0.007031904182513244,False,50
39,-11.568302317432856,0.2184295055650268,0.1465391380729427,0.14508629642213672,0.012936540783630334,False,50
40,-8.463418541926458,0.1578541015615181,0.1975638231206865,0.02662180047072009,0.011414269277011044,False,50
41,-6.535890016531852,0.11998521412871639,0.14896931330022545,0.035563675405848226,0.01073258620192064,False,50
42,-6.964500039669875,0.13189209326693235,0.1576723323366158,0.052348877270027856,0.007397907526465133,False,50
43,-6.268271951059886,0.11355473644424934,0.03114578590274932,0.029286775012161845,0.011810702576948415,True,50
44,-5.888562433702531,0.10653850528027534,0.10150951612701657,0.026671679226979245,0.011232743393775309,False,50
45,-6.926452866978532,0.13123883616916476,0.14000636352391455,0.0761199572521352,0.007290221170405857,False,50
46,-5.82393748858208,0.10967199231047835,0.03444781777417731,0.03444781777417731,0.006806757461163215,True,50
47,-8.084901245988663,0.1496471520369451,0.15523404593546275,0.04653735894227457,0.012050872882828117,False,50
48,-4.9264061639741445,0.08984191619014262,0.05860975247942865,0.03879377676467397,0.008686207089340314,False,50
49,-11.38722791631335,0.2150252632624506,0.15966567230661297,0.14781014575098894,0.01271929506381639,False,50
50,-7.614984029733899,0.14579494226732936,0.17122138991461322,0.049444851319101396,0.006504738327348605,False,50
51,-11.190719238884155,0.21539550775592425,0.15291077937663156,0.1238441083569154,0.008418877021758817,False,50
52,-7.516240716747416,0.13825302160190767,0.1405926839335786,0.03519478277360191,0.012071792733040638,False,50
53,-9.289357509340295,0.1731064953970774,0.19271469279321535,0.058510315617057274,0.012680654789728579,False,50
54,-7.63850793649374,0.14094361830000934,0.06759427597320354,0.041169944372333823,0.011826540429865418,False,50
55,-8.091546952546464,0.1488707681965806,0.11373514612146425,0.07811033821808473,0.012960170854348689,False,50
56,-5.116227566103375,0.09355571720310335,0.05907482553608714,0.00978143078775109,0.00876883411896415,False,50
57,-7.108190772863637,0.13487558153191714,0.16185621841836317,0.049840226748494795,0.0072882339253555984,False,50
58,-8.047265498570075,0.15213821657392013,0.09528888885695028,0.06274630276051417,0.008807093397481367,False,50
59,-7.387906325678684,0.1403555531043745,0.0529220168025469,0.03632930181698301,0.007402573409199249,False,50
60,-6.035442525064092,0.10853203681034232,0.054179259347050514,0.043157594152630624,0.012176813690939526,False,50
61,-13.26322687916332,0.2520174676997568,0.17789890947119358,0.1732279184443849,0.013247069883509538,False,50
