Episode,Update,Environment Steps,Total Reward,Mean Distance,Final Distance,Mean Control Cost,Steps
22,2,2048,-53.30351880891703,0.18016009747059833,0.03834743324025378,0.8859102787077426,50
23,2,2048,-49.50745393868506,0.1966389733873246,0.21672506240817888,0.7935101053863763,50
24,2,2048,-55.352732347273935,0.14570548210191925,0.09414833281171274,0.9613491648435593,50
25,2,2048,-46.10221023593987,0.19987182991894975,0.3664872270249344,0.7221723747998476,50
26,2,2048,-51.992992698389514,0.23794755084789249,0.1923817402998306,0.8019123031198978,50
27,2,2048,-50.21380906391275,0.27332546733828994,0.19605103507987345,0.7309507139399648,50
28,2,2048,-49.83096138601215,0.228790373146353,0.2138943638029947,0.7678288545738906,50
29,2,2048,-45.60457534848196,0.16465318049163474,0.21951413276248816,0.7474383264780045,50
30,2,2048,-48.380815135985735,0.2693782788276695,0.3384863179301994,0.698238023892045,50
31,2,2048,-42.00494724107549,0.12377833050966575,0.17022736967159516,0.7163206143118441,50
32,2,2048,-45.85518279122796,0.15727817323257257,0.10086080710278089,0.7598254825919867,50
33,2,2048,-42.68177178641299,0.14616706562218845,0.08497305289058582,0.7074683701060712,50
34,2,2048,-47.567349133309776,0.18624775076741096,0.041264536390784264,0.7650992318987846,50
35,2,2048,-44.92344828895627,0.11999372866290829,0.057557401705476435,0.7784752371162176,50
36,2,2048,-54.33203313088622,0.20999009347681313,0.17694028016156524,0.8766505691409111,50
37,2,2048,-52.571562356554566,0.19036682555930004,0.16510754748173515,0.8610644215717912,50
38,2,2048,-49.381663922972706,0.18283147614091091,0.1819619532302068,0.8048018023185431,50
39,2,2048,-49.4402961955622,0.14936457544794693,0.13584692821393368,0.8394413484632969,50
40,2,2048,-53.80412906376754,0.29446476087274326,0.2610906156274635,0.7816178204026073,50
41,3,3072,-50.10847675350445,0.18878820805194746,0.15866786083444115,0.8133813270181417,50
42,3,3072,-47.976819201494706,0.17371870013198173,0.16065618745772106,0.7858176838979125,50
43,3,3072,-46.457943754994005,0.19647835325033736,0.26116875366604847,0.7326805218495429,50
44,3,3072,-51.01028988832832,0.2529975009609464,0.18732726235405217,0.7672082968056202,50
45,3,3072,-44.57576133987414,0.1786131958340324,0.19174898797050632,0.7129020309634506,50
46,3,3072,-52.472257725908214,0.2343292075398335,0.11073037758460326,0.8151159469783306,50
47,3,3072,-51.35898279753693,0.14106406800098553,0.12962950293420056,0.8861155879497528,50
48,3,3072,-49.89959551957492,0.1587409777576216,0.03164839316645498,0.8392509326338768,50
49,3,3072,-45.73297639065536,0.17125589099994307,0.3029271010319294,0.7434036368131638,50
50,3,3072,-48.88064619838264,0.23815448700171074,0.18928175397217928,0.7394584369659424,50
51,3,3072,-41.66840463231189,0.15517757017293213,0.20133347614583735,0.6781905224733055,50
52,3,3072,-51.98427820506091,0.2141827211384764,0.16328513863926575,0.8255028429627419,50
53,3,3072,-46.956966617493684,0.19972212495049038,0.08620315709313095,0.7394172073993832,50
54,3,3072,-46.7182789984928,0.10504369761762328,0.13040203484164034,0.8293218823522329,50
55,3,3072,-49.12535125209422,0.13314919736356157,0.09324825583438051,0.8493578276783228,50
56,3,3072,-44.87105448455651,0.15081481499692553,0.18261468049835056,0.7466062746942044,50
57,3,3072,-51.721376095698766,0.22653509506556385,0.22351381868016543,0.8078924268484116,50
58,3,3072,-46.38719930473871,0.17494324285018567,0.13019831290930603,0.7528007432445883,50
59,3,3072,-52.82614311551042,0.16189566250393533,0.18939058949542245,0.894627199806273,50
60,3,3072,-45.80126712229982,0.23376939342188519,0.1665221415538095,0.682255949024111,50
61,3,3072,-47.36979730021674,0.1893616915428078,0.27989190283742577,0.7580342544615268,50
62,4,4096,-49.850602728416725,0.14746771870385028,0.13979587333507512,0.8495443358644843,50
63,4,4096,-50.08937020858633,0.15055092667748698,0.10221303577227406,0.8512364774942398,50
64,4,4096,-49.73145248928724,0.1271948726850863,0.06095237293547893,0.8674341771006584,50
65,4,4096,-49.1284992454056,0.09864014875412787,0.08980906282688332,0.883929836153984,50
66,4,4096,-53.80693602021366,0.15112374458826136,0.23428981337937274,0.9250149758160114,50
67,4,4096,-41.69802418449527,0.2006765577207517,0.09658975258314223,0.6332839259691536,50
68,4,4096,-39.17553699792579,0.1623404775435539,0.21784599272344818,0.6211702624149621,50
69,4,4096,-44.60972878025715,0.15767712039237128,0.1939366494684725,0.7345174552127719,50
70,4,4096,-44.70068078060889,0.11633078380325328,0.04887660892592628,0.7776828318089247,50
