Episode,Total_Reward,Steps,Goal_Reached,Outcome,Epsilon,Maximum_Q_Change,Success,Rolling_Average_Reward,Rolling_Average_Steps,Rolling_Success_Rate,Rolling_Average_Q_Change
36,-131,34,False,Trap reached,0.8390886103705794,1.569052980450003,0,-125.16666666666667,51.333333333333336,38.88888888888889,4.394308610712398
37,14,35,True,Goal reached,0.8348931673187264,3.486784400999994,1,-121.4054054054054,50.891891891891895,40.54054054054054,4.36978092936882
38,-117,28,False,Trap reached,0.8307187014821328,3.2805,0,-121.28947368421052,50.28947368421053,39.473684210526315,4.34111564175385
39,-82,13,False,Trap reached,0.8265651079747222,1.4121476824049992,0,-120.28205128205128,49.333333333333336,38.46153846153847,4.2660138992064445
40,41,20,True,Goal reached,0.8224322824348486,6.561,1,-116.25,48.6,40.0,4.323388551726283
41,29,32,True,Goal reached,0.8183201210226743,4.703069798099998,1,-112.70731707317073,48.19512195121951,41.46341463414634,4.33264906993052
42,-2,43,True,Goal reached,0.8142285204175609,4.1076066027465,1,-110.07142857142857,48.07142857142857,42.857142857142854,4.327290915949948
43,55,22,True,Goal reached,0.810157377815473,3.3284141084827983,1,-106.23255813953489,47.46511627906977,44.18604651162791,4.304061222753037
44,-83,18,False,Trap reached,0.8061065909263957,1.2709329141644972,0,-105.70454545454545,46.79545454545455,43.18181818181818,4.235126488466935
45,-53,4,False,Trap reached,0.8020760579717637,1.1438396227480538,0,-104.53333333333333,45.84444444444444,42.22222222222222,4.166431224784292
46,-44,61,True,Goal reached,0.798065677681905,3.2255383927714263,1,-103.21739130434783,46.17391304347826,43.47826086956522,4.145977032784013
47,-108,31,False,Trap reached,0.7940753492934954,2.952449999999999,0,-103.31914893617021,45.851063829787236,42.5531914893617,4.12058284059712
48,-87,14,False,Trap reached,0.7901049725470279,2.657205000000001,0,-102.97916666666667,45.1875,41.66666666666667,4.090095802251345
49,28,29,True,Goal reached,0.7861544476842928,5.904899999999998,1,-100.3061224489796,44.857142857142854,42.857142857142854,4.127132622613563
50,-161,94,True,Goal reached,0.7822236754458713,5.508176234200835,1,-101.52,45.84,44.0,4.154753494845308
